id,Totpop16,male16,female16,medage16,white16,black16,BAdeg16,unemp16,medinc16,pct_white,pct_black,pct_BAdeg,pct_unemp,urban_class
1,54571,26569,28002,37,42855,9643,7629,2262,53773,78.5307214454564,17.6705576221803,13.9799527221418,4.14505873082773,Suburban
2,182265,89196,93069,41.1,156153,17105,35307,7513,50706,85.6736071105259,9.38468713137465,19.371245165007,4.12202013551697,Urban
3,27457,14576,12881,39,13180,12875,2757,1436,31889,48.0023309174345,46.8915030775394,10.0411552609535,5.22999599373566,Suburban
4,22915,12301,10614,37.8,17381,5047,1396,1006,36824,75.8498799912721,22.0248745363299,6.09207942395811,4.39013746454288,Suburban
5,57322,28362,28960,39,53068,761,4792,2635,45192,92.5787655699382,1.32758801158369,8.35979205191724,4.5968389100171,Suburban
6,10914,5912,5002,38.5,2507,7666,900,681,34500,22.9704966098589,70.2400586402786,8.24628916987356,6.23969213853766,Rural
7,20947,9838,11109,40.1,11399,9095,1812,1249,30752,54.4182937890868,43.4191053611496,8.65040339905476,5.96266768511004,Suburban
8,118572,57176,61396,38.2,88840,24382,12544,7151,40093,74.9249401207705,20.5630334311642,10.5792261242114,6.03093479067571,Urban
9,34215,16363,17852,41.5,20112,13257,2604,2485,32181,58.7812362998685,38.7461639631741,7.6106970626918,7.26289639047202,Suburban
10,25989,12888,13101,43.9,24081,1208,2429,1213,36241,92.6584324137135,4.64812035861326,9.34626188002616,4.66735926738235,Suburban
11,43643,21608,22035,37.6,36713,4230,3608,2300,40834,84.1211649061705,9.69227596636345,8.2670760488509,5.27003184932292,Suburban
12,13859,6688,7171,43.4,7731,6012,1148,836,35123,55.7832455444116,43.3797532289487,8.28342593260697,6.03218125405874,Rural
13,25833,12214,13619,40.2,14070,11336,2186,1735,30954,54.4652189060504,43.8818565400844,8.46204467154415,6.71621569310572,Suburban
14,13932,6833,7099,42,11380,2066,856,699,34556,81.6824576514499,14.8291702555268,6.14412862474878,5.01722652885444,Rural
15,14972,7453,7519,40.6,14079,498,964,821,37244,94.0355329949239,3.32620892332354,6.43868554635319,5.48356932941491,Rural
16,49948,24684,25264,37.6,37330,8359,7543,1585,44626,74.7377272363258,16.7354048210139,15.101705774005,3.17330023224153,Suburban
17,54428,26159,28269,41.8,43789,8768,6843,2128,40158,80.4530756228412,16.1093554787977,12.5725729403983,3.90975233335783,Suburban
18,13228,6412,6816,43,6788,6149,869,1182,27064,51.3153915935894,46.4847293619595,6.56939824614454,8.93559117024494,Rural
19,11539,5727,5812,44.2,7648,3582,787,696,37425,66.2795736198977,31.0425513476038,6.82034838374209,6.03171851980241,Rural
20,37765,18288,19477,42.4,32022,4716,3607,1710,35321,84.7927975638819,12.4877532106448,9.55117171984642,4.52800211836356,Suburban
21,13906,6714,7192,40.7,10097,3254,1045,552,37309,72.6089457788005,23.3999712354379,7.51474183805552,3.96950956421688,Rural
22,80406,39719,40687,39.9,76133,856,7780,3408,39244,94.6857199711464,1.06459716936547,9.67589483371888,4.23848966495038,Suburban
23,50251,24825,25426,36.1,37236,9679,5793,1926,45247,74.1000179100913,19.261308232672,11.5281287934568,3.83275954707369,Suburban
24,43820,20244,23576,37.7,12769,30423,3723,3395,26178,29.1396622546782,69.4272021907805,8.4961204929256,7.74760383386581,Suburban
25,71109,35113,35996,37.5,60087,1078,4623,3469,36853,84.4998523393663,1.51598250573064,6.5012867569506,4.8784260782742,Suburban
26,79303,38689,40614,37.8,60455,15900,11206,3217,55514,76.2329293973746,20.0496828619346,14.1306129654616,4.05659306709708,Suburban
27,38319,19766,18553,39.2,23784,12220,3197,2221,31075,62.0684255852188,31.8901850257053,8.3431196012422,5.79608027349357,Suburban
28,104430,50626,53804,40.2,83823,15796,10830,5057,37660,80.2671646078713,15.1259216700182,10.370583165757,4.8424782150723,Urban
29,17241,8507,8734,42.5,14910,1969,1393,568,33090,86.4799025578563,11.4204512499275,8.07957775071052,3.29447247839452,Rural
30,31704,15828,15876,37.8,26320,1228,2560,1353,37235,83.0179157204138,3.87332828665153,8.07469089073934,4.26760030280091,Suburban
31,26790,13105,13685,42,23127,2539,2037,1188,33618,86.3269876819709,9.47741694662187,7.60358342665174,4.43449048152296,Suburban
32,9045,4271,4774,41.8,1575,7370,694,828,23777,17.4129353233831,81.4814814814815,7.67274737423991,9.15422885572139,Rural
33,15760,7466,8294,40,6266,9301,1227,1023,29409,39.758883248731,59.0164974619289,7.78553299492386,6.49111675126904,Rural
34,17302,8302,9000,42.8,11865,4942,1903,950,40680,68.5758871806728,28.5631718876431,10.998728470697,5.49069471737371,Rural
35,101547,48740,52807,38.5,71053,26176,13136,3732,41828,69.9705555063173,25.7772263089998,12.9358819069003,3.67514549912848,Urban
36,53227,26139,27088,41.4,48348,1781,4914,1938,37059,90.8335994889812,3.34604617957052,9.23215661224567,3.64100926221654,Suburban
37,658466,311813,346653,37.1,349166,276525,128710,32564,45415,53.0271874326085,41.9953346110505,19.5469469949853,4.94543378093933,Urban
38,14564,7097,7467,43.5,12626,1643,1038,592,35271,86.6932161494095,11.2812414171931,7.12716286734414,4.06481735786872,Rural
39,92709,44379,48330,40.4,80112,9257,13704,3916,40701,86.4123224282432,9.98500684938895,14.7817364009967,4.22396962538696,Suburban
40,34339,16791,17548,40.6,26647,3938,3023,1778,39526,77.5998136229943,11.4680101342497,8.8034013803547,5.17778619062873,Suburban
41,140247,69126,71121,29.5,100006,31901,25136,6839,43189,71.3070511312185,22.7462976035138,17.9226650124423,4.87639664306545,Urban
42,82782,41910,40872,38.4,66506,10429,12414,3455,48197,80.3387209779904,12.5981493561402,14.9960136261506,4.17361262110121,Suburban
